#SampleID	Sample	Run	Platform	RunDate	sampletype	controltype	cl	clone	treatment	birthday	mother	umother	box	sediment_bottle	extraction_day	extraction_round	pcr_batch	sedtype	seddate	behavior	cloneavgbehavior	clonerank	category	size	cloneavgsize	eggs	Description
D288_B	D288	B	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	SED	29	J5	TREG1J5	24	N2	d2	2	p1	NA	NA	4.387265216	3.68	1	low	2.8	2.721818182	1	p303_Alexandra_Mushegian
D279_A	D279	A	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	SED	29	G1	TREG1G1	24	N2	d3	4	p2	NA	NA	3.353723938	3.68	1	low	2.8	2.721818182	1	p303_Alexandra_Mushegian
D279_B	D279	B	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	SED	29	G1	TREG1G1	24	N2	d3	4	p2	NA	NA	3.353723938	3.68	1	low	2.8	2.721818182	1	p303_Alexandra_Mushegian
D270_A	D270	A	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	SED	30	J2	TREG1J2	42	N3	d6	9	p4	NA	NA	3.237292338	3.68	1	low	2.8	2.721818182	1	p303_Alexandra_Mushegian
D270_B	D270	B	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	SED	30	J2	TREG1J2	42	N3	d6	9	p4	NA	NA	3.237292338	3.68	1	low	2.8	2.721818182	1	p303_Alexandra_Mushegian
D283_A	D283	A	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	AUT	29	G6	TREG1G6	7	A1	d6	9	p4	NA	NA	3.8509524	3.68	1	low	2.88	2.721818182	1	p303_Alexandra_Mushegian
D283_B	D283	B	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	AUT	29	G6	TREG1G6	7	A1	d6	9	p4	NA	NA	3.8509524	3.68	1	low	2.88	2.721818182	1	p303_Alexandra_Mushegian
D275_A	D275	A	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	NET	30	G5	TREG1G5	40	N3	d3	5	p2	NA	NA	3.979411783	3.68	1	low	2.92	2.721818182	1	p303_Alexandra_Mushegian
D275_B	D275	B	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	NET	30	G5	TREG1G5	40	N3	d3	5	p2	NA	NA	3.979411783	3.68	1	low	2.92	2.721818182	1	p303_Alexandra_Mushegian
D269_A	D269	A	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	NET	30	J2	TREG1J2	34	N3	d1	1	p1	NA	NA	3.036628895	3.68	1	low	2.96	2.721818182	1	p303_Alexandra_Mushegian
D269_B	D269	B	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	NET	30	J2	TREG1J2	34	N3	d1	1	p1	NA	NA	3.036628895	3.68	1	low	2.96	2.721818182	1	p303_Alexandra_Mushegian
D267_A	D267	A	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	SED	30	J1	TREG1J1	30	N3	d2	2	p1	NA	NA	4.43969577	3.68	1	low	2.96	2.721818182	1	p303_Alexandra_Mushegian
D267_B	D267	B	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	SED	30	J1	TREG1J1	30	N3	d2	2	p1	NA	NA	4.43969577	3.68	1	low	2.96	2.721818182	1	p303_Alexandra_Mushegian
D272_A	D272	A	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	NET	30	J6	TREG1J6	16	N2	d2	2	p1	NA	NA	3	3.68	1	low	3	2.721818182	1	p303_Alexandra_Mushegian
D272_B	D272	B	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	NET	30	J6	TREG1J6	16	N2	d2	2	p1	NA	NA	3	3.68	1	low	3	2.721818182	1	p303_Alexandra_Mushegian
D287_A	D287	A	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	NET	29	J5	TREG1J5	35	N3	d5	7	p3	NA	NA	3	3.68	1	low	3	2.721818182	1	p303_Alexandra_Mushegian
D287_B	D287	B	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	NET	29	J5	TREG1J5	35	N3	d5	7	p3	NA	NA	3	3.68	1	low	3	2.721818182	1	p303_Alexandra_Mushegian
D277_A	D277	A	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	AUT	29	G1	TREG1G1	25	A1	d2	3	p1	NA	NA	4.066064897	3.68	1	low	3.04	2.721818182	1	p303_Alexandra_Mushegian
D277_B	D277	B	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	AUT	29	G1	TREG1G1	25	A1	d2	3	p1	NA	NA	4.066064897	3.68	1	low	3.04	2.721818182	1	p303_Alexandra_Mushegian
D271_A	D271	A	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	AUT	30	J6	TREG1J6	9	A1	d3	4	p2	NA	NA	3.840545188	3.68	1	low	3.08	2.721818182	1	p303_Alexandra_Mushegian
D271_B	D271	B	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	AUT	30	J6	TREG1J6	9	A1	d3	4	p2	NA	NA	3.840545188	3.68	1	low	3.08	2.721818182	1	p303_Alexandra_Mushegian
D025_A	D025	A	MiSeq_300	Run160208	animal	NA	QTL_918	F2-918	AUT	29	K11	QTL_918K11	16	A1	d2	2	p1	NA	NA	4.873291532	5.02	12	high	2.4	2.811764706	1	p303_Alexandra_Mushegian
D025_B	D025	B	MiSeq_300	Run160208	animal	NA	QTL_918	F2-918	AUT	29	K11	QTL_918K11	16	A1	d2	2	p1	NA	NA	4.873291532	5.02	12	high	2.4	2.811764706	1	p303_Alexandra_Mushegian
D043_A	D043	A	MiSeq_300	Run160208	animal	NA	QTL_918	F2-918	AUT	28	K10	QTL_918K10	31	A3	d6	9	p4	NA	NA	5.122776003	5.02	12	high	2.48	2.811764706	0	p303_Alexandra_Mushegian
D043_B	D043	B	MiSeq_300	Run160208	animal	NA	QTL_918	F2-918	AUT	28	K10	QTL_918K10	31	A3	d6	9	p4	NA	NA	5.122776003	5.02	12	high	2.48	2.811764706	0	p303_Alexandra_Mushegian
D028_A	D028	A	MiSeq_300	Run160208	animal	NA	QTL_918	F2-918	AUT	29	G2	QTL_918G2	36	A3	d5	7	p3	NA	NA	4.349860082	5.02	12	high	2.48	2.811764706	0	p303_Alexandra_Mushegian
D028_B	D028	B	MiSeq_300	Run160208	animal	NA	QTL_918	F2-918	AUT	29	G2	QTL_918G2	36	A3	d5	7	p3	NA	NA	4.349860082	5.02	12	high	2.48	2.811764706	0	p303_Alexandra_Mushegian
D036_A	D036	A	MiSeq_300	Run160208	animal	NA	QTL_918	F2-918	SED	29	I4	QTL_918I4	18	N2	d6	10	p4	NA	NA	5.061682383	5.02	12	high	2.48	2.811764706	1	p303_Alexandra_Mushegian
D036_B	D036	B	MiSeq_300	Run160208	animal	NA	QTL_918	F2-918	SED	29	I4	QTL_918I4	18	N2	d6	10	p4	NA	NA	5.061682383	5.02	12	high	2.48	2.811764706	1	p303_Alexandra_Mushegian
D029_A	D029	A	MiSeq_300	Run160208	animal	NA	QTL_918	F2-918	NET	29	G2	QTL_918G2	15	N1	d5	8	p3	NA	NA	4.887887244	5.02	12	high	2.68	2.811764706	1	p303_Alexandra_Mushegian
D029_B	D029	B	MiSeq_300	Run160208	animal	NA	QTL_918	F2-918	NET	29	G2	QTL_918G2	15	N1	d5	8	p3	NA	NA	4.887887244	5.02	12	high	2.68	2.811764706	1	p303_Alexandra_Mushegian
D038_A	D038	A	MiSeq_300	Run160208	animal	NA	QTL_918	F2-918	NET	29	K1	QTL_918K1	12	N1	d5	8	p3	NA	NA	5.002658415	5.02	12	high	2.72	2.811764706	0	p303_Alexandra_Mushegian
D038_B	D038	B	MiSeq_300	Run160208	animal	NA	QTL_918	F2-918	NET	29	K1	QTL_918K1	12	N1	d5	8	p3	NA	NA	5.002658415	5.02	12	high	2.72	2.811764706	0	p303_Alexandra_Mushegian
D040_A	D040	A	MiSeq_300	Run160208	animal	NA	QTL_918	F2-918	AUT	28	K3	QTL_918K3	28	A3	d2	2	p1	NA	NA	5.102810891	5.02	12	high	2.76	2.811764706	1	p303_Alexandra_Mushegian
D040_B	D040	B	MiSeq_300	Run160208	animal	NA	QTL_918	F2-918	AUT	28	K3	QTL_918K3	28	A3	d2	2	p1	NA	NA	5.102810891	5.02	12	high	2.76	2.811764706	1	p303_Alexandra_Mushegian
D032_A	D032	A	MiSeq_300	Run160208	animal	NA	QTL_918	F2-918	NET	29	I2	QTL_918I2	33	N3	d5	7	p3	NA	NA	5.324208351	5.02	12	high	2.8	2.811764706	1	p303_Alexandra_Mushegian
D032_B	D032	B	MiSeq_300	Run160208	animal	NA	QTL_918	F2-918	NET	29	I2	QTL_918I2	33	N3	d5	7	p3	NA	NA	5.324208351	5.02	12	high	2.8	2.811764706	1	p303_Alexandra_Mushegian
D044_A	D044	A	MiSeq_300	Run160208	animal	NA	QTL_918	F2-918	NET	28	K10	QTL_918K10	33	N3	d4	6	p2	NA	NA	5.156800449	5.02	12	high	2.8	2.811764706	0	p303_Alexandra_Mushegian
D044_B	D044	B	MiSeq_300	Run160208	animal	NA	QTL_918	F2-918	NET	28	K10	QTL_918K10	33	N3	d4	6	p2	NA	NA	5.156800449	5.02	12	high	2.8	2.811764706	0	p303_Alexandra_Mushegian
D027_A	D027	A	MiSeq_300	Run160208	animal	NA	QTL_918	F2-918	SED	29	K11	QTL_918K11	28	N2	d3	5	p2	NA	NA	5.186119697	5.02	12	high	2.84	2.811764706	1	p303_Alexandra_Mushegian
D027_B	D027	B	MiSeq_300	Run160208	animal	NA	QTL_918	F2-918	SED	29	K11	QTL_918K11	28	N2	d3	5	p2	NA	NA	5.186119697	5.02	12	high	2.84	2.811764706	1	p303_Alexandra_Mushegian
D045_A	D045	A	MiSeq_300	Run160208	animal	NA	QTL_918	F2-918	SED	28	K10	QTL_918K10	11	N1	d3	4	p2	NA	NA	5.202608181	5.02	12	high	2.92	2.811764706	0	p303_Alexandra_Mushegian
D045_B	D045	B	MiSeq_300	Run160208	animal	NA	QTL_918	F2-918	SED	28	K10	QTL_918K10	11	N1	d3	4	p2	NA	NA	5.202608181	5.02	12	high	2.92	2.811764706	0	p303_Alexandra_Mushegian
D041_A	D041	A	MiSeq_300	Run160208	animal	NA	QTL_918	F2-918	NET	28	K3	QTL_918K3	27	N2	d2	2	p1	NA	NA	5.168986305	5.02	12	high	2.96	2.811764706	0	p303_Alexandra_Mushegian
D041_B	D041	B	MiSeq_300	Run160208	animal	NA	QTL_918	F2-918	NET	28	K3	QTL_918K3	27	N2	d2	2	p1	NA	NA	5.168986305	5.02	12	high	2.96	2.811764706	0	p303_Alexandra_Mushegian
D035_A	D035	A	MiSeq_300	Run160208	animal	NA	QTL_918	F2-918	NET	29	I4	QTL_918I4	19	N2	d5	8	p3	NA	NA	4.848435455	5.02	12	high	3	2.811764706	0	p303_Alexandra_Mushegian
D035_B	D035	B	MiSeq_300	Run160208	animal	NA	QTL_918	F2-918	NET	29	I4	QTL_918I4	19	N2	d5	8	p3	NA	NA	4.848435455	5.02	12	high	3	2.811764706	0	p303_Alexandra_Mushegian
D042_A	D042	A	MiSeq_300	Run160208	animal	NA	QTL_918	F2-918	SED	28	K3	QTL_918K3	9	N1	d3	4	p2	NA	NA	4.918805919	5.02	12	high	3	2.811764706	1	p303_Alexandra_Mushegian
D042_B	D042	B	MiSeq_300	Run160208	animal	NA	QTL_918	F2-918	SED	28	K3	QTL_918K3	9	N1	d3	4	p2	NA	NA	4.918805919	5.02	12	high	3	2.811764706	1	p303_Alexandra_Mushegian
D039_A	D039	A	MiSeq_300	Run160208	animal	NA	QTL_918	F2-918	SED	29	K1	QTL_918K1	27	N2	d3	5	p2	NA	NA	5.350416662	5.02	12	high	3	2.811764706	1	p303_Alexandra_Mushegian
D039_B	D039	B	MiSeq_300	Run160208	animal	NA	QTL_918	F2-918	SED	29	K1	QTL_918K1	27	N2	d3	5	p2	NA	NA	5.350416662	5.02	12	high	3	2.811764706	1	p303_Alexandra_Mushegian
D031_A	D031	A	MiSeq_300	Run160208	animal	NA	QTL_918	F2-918	AUT	29	I2	QTL_918I2	43	A3	d2	3	p1	NA	NA	5.048857253	5.02	12	high	3.16	2.811764706	1	p303_Alexandra_Mushegian
D031_B	D031	B	MiSeq_300	Run160208	animal	NA	QTL_918	F2-918	AUT	29	I2	QTL_918I2	43	A3	d2	3	p1	NA	NA	5.048857253	5.02	12	high	3.16	2.811764706	1	p303_Alexandra_Mushegian
D033_A	D033	A	MiSeq_300	Run160208	animal	NA	QTL_918	F2-918	SED	29	I2	QTL_918I2	37	N3	d1	1	p1	NA	NA	4.648984166	5.02	12	high	3.32	2.811764706	1	p303_Alexandra_Mushegian
D033_B	D033	B	MiSeq_300	Run160208	animal	NA	QTL_918	F2-918	SED	29	I2	QTL_918I2	37	N3	d1	1	p1	NA	NA	4.648984166	5.02	12	high	3.32	2.811764706	1	p303_Alexandra_Mushegian
D020_A	D020	A	MiSeq_300	Run160208	animal	NA	QTL_82	F2-82	NET	29	J8	QTL_82J8	10	N1	d5	8	p3	NA	NA	3.300378065	4.24	4	inter	2.28	2.669473684	0	p303_Alexandra_Mushegian
D020_B	D020	B	MiSeq_300	Run160208	animal	NA	QTL_82	F2-82	NET	29	J8	QTL_82J8	10	N1	d5	8	p3	NA	NA	3.300378065	4.24	4	inter	2.28	2.669473684	0	p303_Alexandra_Mushegian
D017_A	D017	A	MiSeq_300	Run160208	animal	NA	QTL_82	F2-82	NET	29	J6	QTL_82J6	15	N1	d5	8	p3	NA	NA	4.965690771	4.24	4	inter	2.32	2.669473684	0	p303_Alexandra_Mushegian
D017_B	D017	B	MiSeq_300	Run160208	animal	NA	QTL_82	F2-82	NET	29	J6	QTL_82J6	15	N1	d5	8	p3	NA	NA	4.965690771	4.24	4	inter	2.32	2.669473684	0	p303_Alexandra_Mushegian
D023_A	D023	A	MiSeq_300	Run160208	animal	NA	QTL_82	F2-82	NET	28	J5	QTL_82J5	2	N1	d1	1	p1	NA	NA	3.860218185	4.24	4	inter	2.4	2.669473684	1	p303_Alexandra_Mushegian
D023_B	D023	B	MiSeq_300	Run160208	animal	NA	QTL_82	F2-82	NET	28	J5	QTL_82J5	2	N1	d1	1	p1	NA	NA	3.860218185	4.24	4	inter	2.4	2.669473684	1	p303_Alexandra_Mushegian
D004_A	D004	A	MiSeq_300	Run160208	animal	NA	QTL_82	F2-82	AUT	30	K6	QTL_82K6	8	A1	d3	4	p2	NA	NA	4.21170775	4.24	4	inter	2.56	2.669473684	0	p303_Alexandra_Mushegian
D004_B	D004	B	MiSeq_300	Run160208	animal	NA	QTL_82	F2-82	AUT	30	K6	QTL_82K6	8	A1	d3	4	p2	NA	NA	4.21170775	4.24	4	inter	2.56	2.669473684	0	p303_Alexandra_Mushegian
D001_A	D001	A	MiSeq_300	Run160208	animal	NA	QTL_82	F2-82	AUT	30	K2	QTL_82K2	12	A1	d5	8	p3	NA	NA	3.767601068	4.24	4	inter	2.6	2.669473684	0	p303_Alexandra_Mushegian
D001_B	D001	B	MiSeq_300	Run160208	animal	NA	QTL_82	F2-82	AUT	30	K2	QTL_82K2	12	A1	d5	8	p3	NA	NA	3.767601068	4.24	4	inter	2.6	2.669473684	0	p303_Alexandra_Mushegian
D002_A	D002	A	MiSeq_300	Run160208	animal	NA	QTL_82	F2-82	NET	30	K2	QTL_82K2	44	N4	d3	5	p2	NA	NA	3.840043331	4.24	4	inter	2.6	2.669473684	0	p303_Alexandra_Mushegian
D002_B	D002	B	MiSeq_300	Run160208	animal	NA	QTL_82	F2-82	NET	30	K2	QTL_82K2	44	N4	d3	5	p2	NA	NA	3.840043331	4.24	4	inter	2.6	2.669473684	0	p303_Alexandra_Mushegian
D014_A	D014	A	MiSeq_300	Run160208	animal	NA	QTL_82	F2-82	NET	29	J4	QTL_82J4	20	N2	d3	5	p2	NA	NA	4.36599312	4.24	4	inter	2.64	2.669473684	0	p303_Alexandra_Mushegian
D014_B	D014	B	MiSeq_300	Run160208	animal	NA	QTL_82	F2-82	NET	29	J4	QTL_82J4	20	N2	d3	5	p2	NA	NA	4.36599312	4.24	4	inter	2.64	2.669473684	0	p303_Alexandra_Mushegian
D009_A	D009	A	MiSeq_300	Run160208	animal	NA	QTL_82	F2-82	SED	29	J2	QTL_82J2	45	N4	d2	3	p1	NA	NA	5.254717218	4.24	4	inter	2.64	2.669473684	0	p303_Alexandra_Mushegian
D009_B	D009	B	MiSeq_300	Run160208	animal	NA	QTL_82	F2-82	SED	29	J2	QTL_82J2	45	N4	d2	3	p1	NA	NA	5.254717218	4.24	4	inter	2.64	2.669473684	0	p303_Alexandra_Mushegian
D022_A	D022	A	MiSeq_300	Run160208	animal	NA	QTL_82	F2-82	AUT	28	J5	QTL_82J5	22	A1	d6	10	p4	NA	NA	4.016406501	4.24	4	inter	2.68	2.669473684	0	p303_Alexandra_Mushegian
D022_B	D022	B	MiSeq_300	Run160208	animal	NA	QTL_82	F2-82	AUT	28	J5	QTL_82J5	22	A1	d6	10	p4	NA	NA	4.016406501	4.24	4	inter	2.68	2.669473684	0	p303_Alexandra_Mushegian
D007_A	D007	A	MiSeq_300	Run160208	animal	NA	QTL_82	F2-82	AUT	29	J2	QTL_82J2	41	A3	d4	6	p2	NA	NA	4.961273931	4.24	4	inter	2.68	2.669473684	1	p303_Alexandra_Mushegian
D007_B	D007	B	MiSeq_300	Run160208	animal	NA	QTL_82	F2-82	AUT	29	J2	QTL_82J2	41	A3	d4	6	p2	NA	NA	4.961273931	4.24	4	inter	2.68	2.669473684	1	p303_Alexandra_Mushegian
D013_A	D013	A	MiSeq_300	Run160208	animal	NA	QTL_82	F2-82	AUT	29	J4	QTL_82J4	48	A3	d4	6	p2	NA	NA	4.50711343	4.24	4	inter	2.68	2.669473684	0	p303_Alexandra_Mushegian
D013_B	D013	B	MiSeq_300	Run160208	animal	NA	QTL_82	F2-82	AUT	29	J4	QTL_82J4	48	A3	d4	6	p2	NA	NA	4.50711343	4.24	4	inter	2.68	2.669473684	0	p303_Alexandra_Mushegian
D018_A	D018	A	MiSeq_300	Run160208	animal	NA	QTL_82	F2-82	SED	29	J6	QTL_82J6	14	N1	d6	10	p4	NA	NA	4.27600199	4.24	4	inter	2.68	2.669473684	0	p303_Alexandra_Mushegian
D018_B	D018	B	MiSeq_300	Run160208	animal	NA	QTL_82	F2-82	SED	29	J6	QTL_82J6	14	N1	d6	10	p4	NA	NA	4.27600199	4.24	4	inter	2.68	2.669473684	0	p303_Alexandra_Mushegian
D024_A	D024	A	MiSeq_300	Run160208	animal	NA	QTL_82	F2-82	SED	28	J5	QTL_82J5	14	N1	d6	10	p4	NA	NA	5.409838481	4.24	4	inter	2.72	2.669473684	1	p303_Alexandra_Mushegian
D024_B	D024	B	MiSeq_300	Run160208	animal	NA	QTL_82	F2-82	SED	28	J5	QTL_82J5	14	N1	d6	10	p4	NA	NA	5.409838481	4.24	4	inter	2.72	2.669473684	1	p303_Alexandra_Mushegian
D015_A	D015	A	MiSeq_300	Run160208	animal	NA	QTL_82	F2-82	SED	29	J4	QTL_82J4	38	N3	d6	9	p4	NA	NA	5.239084156	4.24	4	inter	2.72	2.669473684	0	p303_Alexandra_Mushegian
D015_B	D015	B	MiSeq_300	Run160208	animal	NA	QTL_82	F2-82	SED	29	J4	QTL_82J4	38	N3	d6	9	p4	NA	NA	5.239084156	4.24	4	inter	2.72	2.669473684	0	p303_Alexandra_Mushegian
D008_A	D008	A	MiSeq_300	Run160208	animal	NA	QTL_82	F2-82	NET	29	J2	QTL_82J2	20	N2	d2	2	p1	NA	NA	3.750354089	4.24	4	inter	2.8	2.669473684	0	p303_Alexandra_Mushegian
D008_B	D008	B	MiSeq_300	Run160208	animal	NA	QTL_82	F2-82	NET	29	J2	QTL_82J2	20	N2	d2	2	p1	NA	NA	3.750354089	4.24	4	inter	2.8	2.669473684	0	p303_Alexandra_Mushegian
D019_A	D019	A	MiSeq_300	Run160208	animal	NA	QTL_82	F2-82	AUT	29	J8	QTL_82J8	44	A3	d4	6	p2	NA	NA	4.094191525	4.24	4	inter	2.84	2.669473684	0	p303_Alexandra_Mushegian
D019_B	D019	B	MiSeq_300	Run160208	animal	NA	QTL_82	F2-82	AUT	29	J8	QTL_82J8	44	A3	d4	6	p2	NA	NA	4.094191525	4.24	4	inter	2.84	2.669473684	0	p303_Alexandra_Mushegian
D011_A	D011	A	MiSeq_300	Run160208	animal	NA	QTL_82	F2-82	NET	29	J3	QTL_82J3	42	N3	d5	8	p3	NA	NA	3	4.24	4	inter	2.88	2.669473684	0	p303_Alexandra_Mushegian
D011_B	D011	B	MiSeq_300	Run160208	animal	NA	QTL_82	F2-82	NET	29	J3	QTL_82J3	42	N3	d5	8	p3	NA	NA	3	4.24	4	inter	2.88	2.669473684	0	p303_Alexandra_Mushegian
D021_A	D021	A	MiSeq_300	Run160208	animal	NA	QTL_82	F2-82	SED	29	J8	QTL_82J8	34	N3	d1	1	p1	NA	NA	3	4.24	4	inter	2.92	2.669473684	0	p303_Alexandra_Mushegian
D021_B	D021	B	MiSeq_300	Run160208	animal	NA	QTL_82	F2-82	SED	29	J8	QTL_82J8	34	N3	d1	1	p1	NA	NA	3	4.24	4	inter	2.92	2.669473684	0	p303_Alexandra_Mushegian
D016_A	D016	A	MiSeq_300	Run160208	animal	NA	QTL_82	F2-82	AUT	29	J6	QTL_82J6	11	A1	d3	4	p2	NA	NA	4.80887238	4.24	4	inter	3.08	2.669473684	0	p303_Alexandra_Mushegian
D016_B	D016	B	MiSeq_300	Run160208	animal	NA	QTL_82	F2-82	AUT	29	J6	QTL_82J6	11	A1	d3	4	p2	NA	NA	4.80887238	4.24	4	inter	3.08	2.669473684	0	p303_Alexandra_Mushegian
